Chromosome	TADborder	Nut.0h	Nut.1h	Nut.4h	Nut.7h	Nut.10h	Nut.24h	Category_tads	state_tads	Nut.0h_VS_Nut.1h	Nut.1h_VS_Nut.4h	Nut.4h_VS_Nut.7h	Nut.7h_VS_Nut.10h	Nut.10h_VS_Nut.24h	IS_Nut.0h	IS_Nut.1h	IS_Nut.4h	IS_Nut.7h	IS_Nut.10h	IS_Nut.24h	sigmoid_IS_Nut.0h	sigmoid_IS_Nut.1h	sigmoid_IS_Nut.4h	sigmoid_IS_Nut.7h	sigmoid_IS_Nut.10h	sigmoid_IS_Nut.24h
6	13600000	10	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.2391	-0.3894	-0.4139	-0.4317	-0.4643	-0.485	0.4405081534901043	0.4038617468285661	0.3979773440266185	0.3937204604140366	0.3859662413861825	0.38107214519980964
6	136607812	9	6	6	6	8	6	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.7406	-0.7462	-0.7908	-0.8551	-0.8722	-0.859	0.32287295421729145	0.32164986495582754	0.3119969197212975	0.2983641116656442	0.2947967340554794	0.2975483166472328
6	136900000	10	10	9	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.2209	-0.2871	-0.277	-0.2939	-0.2472	-0.422	0.4449984765550353	0.42871398284986467	0.43118941896080387	0.42704935172015623	0.43851279409778826	0.3960382668907755
6	137150000	5	0	0	0	0	0	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD	Variable	Lost	NoTAD	NoTAD	NoTAD	NoTAD	-0.1757	NA	NA	NA	NA	NA	0.4561876511093856	NA	NA	NA	NA	NA
6	137351562	5	10	6	10	10	6	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.484	-0.382	-0.3281	-0.3707	-0.5077	-0.3473	0.38130802939870706	0.40564461209270175	0.4187029941132404	0.4083718877236074	0.37573285380167554	0.4140373168101839
6	138000000	10	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.6263	-0.5521	-0.4689	-0.4986	-0.5445	-0.4833	0.34834997423537833	0.3653773303200587	0.38487663187923365	0.3778697303568027	0.3671413898951148	0.38147318166481714
6	138312500	6	5	7	7	6	6	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.5459	-0.4213	-0.4107	-0.4279	-0.4911	-0.3643	0.36681616241560516	0.39620571344019584	0.3987442861662164	0.3946279035100597	0.37963447002485623	0.40991905718345484
6	13850000	10	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.307	-0.3103	-0.2339	-0.2773	-0.3398	-0.2157	0.4238471732287113	0.42304151396049156	0.4417901429395717	0.43111584094905836	0.41585806027364935	0.4462831102043067
6	139100000	10	3	0	0	0	8	TAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD	Variable	Lost	NoTAD	NoTAD	NoTAD	Gained	-0.2733	NA	NA	NA	NA	-0.2223	0.43209712991226085	NA	NA	NA	NA	0.4446527384686897
6	139350000	0	0	0	0	0	5	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD	Variable	NoTAD	NoTAD	NoTAD	NoTAD	Gained	NA	NA	NA	NA	NA	0.0892	NA	NA	NA	NA	NA	0.522285225665961
6	139625000	8	8	10	10	10	9	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.5297	-0.4078	-0.4856	-0.4897	-0.5562	-0.4853	0.3705868609872897	0.39943975701116463	0.3809306416020748	0.379964242536405	0.3644271614786636	0.3810013908751325
6	14100000	10	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.8986	-0.8016	-0.7794	-0.8068	-0.8986	-0.7159	0.2893382827497246	0.3096833674310155	0.3144492142032375	0.3085728151748887	0.2893382827497246	0.3282964690059565
6	141950000	10	0	0	0	10	0	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD	Variable	Lost	NoTAD	NoTAD	Gained	Lost	-0.4679	NA	NA	NA	-0.3592	NA	0.38511340572781794	NA	NA	NA	0.41115323716754393	NA
6	142450000	10	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.3852	-0.3953	-0.4134	-0.4072	-0.5142	-0.5887	0.40487333503365247	0.4024420873258739	0.3980971458242055	0.3995836982742254	0.3742094647656808	0.3569331902313482
6	142787500	7	7	5	6	10	7	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.6106	-0.6739	-0.6302	-0.6762	-0.7388	-0.7963	0.35192234195995586	0.33762411635415546	0.3474651897976414	0.337109950237082	0.3232666064359977	0.3108175405624136
6	143800000	10	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-1.0271	-0.8955	-0.9474	-0.9246	-1.1942	-1.2573	0.2636467158071154	0.28997612586995647	0.2794080034620906	0.2840215404786326	0.23250861081329385	0.22143903232462267
6	144396875	10	8	5	10	10	7	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.7566	-0.6453	-0.5293	-0.6133	-0.7762	-0.8259	0.31938489774063655	0.34404945179705665	0.37068016671182064	0.35130679131759485	0.3151394503494345	0.304512690883636
6	144875000	10	0	0	0	10	4	TAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD	Variable	Lost	NoTAD	NoTAD	Gained	Lost	-1.0079	NA	NA	NA	-0.8961	NA	0.26739102519618735	NA	NA	NA	0.28985260745537433	NA
6	145550000	10	0	0	0	10	5	TAD-NoTAD-NoTAD-NoTAD-TAD-TAD	Variable	Lost	NoTAD	NoTAD	Gained	Maintained	-0.2443	NA	NA	NA	-0.1865	0.1311	0.4392269569799117	NA	NA	NA	0.4535096751228639	0.5327281379737884
6	145850000	10	0	0	0	0	5	TAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD	Variable	Lost	NoTAD	NoTAD	NoTAD	Gained	0.2174	NA	NA	NA	NA	0.2727	0.5541369459783161	NA	NA	NA	NA	0.5677556305732246
6	146050000	0	0	0	0	8	0	NoTAD-NoTAD-NoTAD-NoTAD-TAD-NoTAD	Variable	NoTAD	NoTAD	NoTAD	Gained	Lost	NA	NA	NA	NA	-0.9393	NA	NA	NA	NA	NA	0.281041761005235	NA
6	146181250	10	5	8	10	0	5	TAD-TAD-TAD-TAD-NoTAD-TAD	Variable	Maintained	Maintained	Maintained	Lost	Gained	-0.8425	-0.9272	-0.9377	-0.9567	NA	-0.964	0.30100851649095206	0.2834931189152065	0.28136516589902966	0.2775393960975813	NA	0.2760780434271086
6	147148437	8	9	5	5	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-1.1943	-0.998	-0.9974	-1.0448	-1.2799	-0.9094	0.23249076645495884	0.2693348269047903	0.26945291939189453	0.26022489306354696	0.21756724627005877	0.28712263149555184
6	147700000	10	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.8997	-0.7737	-0.6897	-0.7487	-0.9845	-0.7599	0.28911215136850005	0.31567926598777685	0.3340998130644272	0.32110463027317776	0.27199979840009353	0.31866797768702615
6	148525000	10	0	0	0	9	7	TAD-NoTAD-NoTAD-NoTAD-TAD-TAD	Variable	Lost	NoTAD	NoTAD	Gained	Maintained	-0.3952	NA	NA	NA	-0.5957	-0.636	0.4024661358058333	NA	NA	NA	0.35532808103490476	0.34615130371468894
6	148850000	8	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.4876	-0.5201	-0.4426	-0.4503	-0.6462	-0.7908	0.3804591090736221	0.37282885063958193	0.39112161598002837	0.3892894407307533	0.34384636883071096	0.3119969197212975
6	149350000	10	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.4749	-0.4546	-0.5621	-0.5107	-0.5172	-0.7488	0.3834571369792441	0.38826763310234713	0.3630616996127448	0.37502944353246626	0.3735072000833936	0.3210828310185055
6	149850000	10	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.9486	-0.9124	-0.8094	-0.9344	-0.9737	-1.3189	0.27916646042475274	0.28650897417912297	0.3080183667965419	0.28203290313285023	0.27414362834078104	0.21100136302836334
6	1500000	10	7	10	10	10	5	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-1.6349	-1.6562	-1.7994	-1.8528	-2.0357	-2.416	0.16316021557661867	0.16027276148362593	0.14192411820084547	0.13554447999513158	0.1155053107416097	0.08196072528740718
6	150253125	8	9	8	8	7	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.5633	-0.4507	-0.4225	-0.4529	-0.5505	-0.9827	0.36278424775631735	0.3891943476743168	0.3959186771306219	0.3886714867079872	0.3657484129496025	0.27235637327680384
6	150700000	10	0	0	0	0	6	TAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD	Variable	Lost	NoTAD	NoTAD	NoTAD	Gained	-0.0237	NA	NA	NA	NA	-0.1977	0.49407527731886086	NA	NA	NA	NA	0.45073535581199636
