ensembl_gene_id	HCT116_Nut0h_1	HCT116_Nut0h_2	HCT116_Nut10h_1	HCT116_Nut10h_2	HCT116_Nut1h_1	HCT116_Nut1h_2
ENSG00000014138	1716	1835	826	770	1174	1008
ENSG00000014164	4282	3587	3728	3263	1200	1063
ENSG00000014216	18407	15908	22557	20536	7924	6887
ENSG00000014257	1	2	1	3	6	5
ENSG00000014641	4371	4396	4902	4911	5817	4699
ENSG00000014824	1834	1975	1923	2120	3375	2566
ENSG00000014914	453	559	387	405	370	281
ENSG00000014919	2663	2819	2523	3071	3589	2961
ENSG00000015133	1712	1466	1419	1248	864	748
ENSG00000015153	327	347	324	341	381	284
ENSG00000015171	1497	1552	1404	1614	2249	1854
ENSG00000015285	16	17	32	14	7	6
ENSG00000015413	5	9	6	5	5	3
ENSG00000015475	1880	1726	1696	1645	1313	1037
ENSG00000015479	10247	11065	8720	10188	18900	15039
ENSG00000015520	5	6	14	10	1	1
ENSG00000015532	3716	3308	3584	3201	1444	1068
ENSG00000015568	0	2	5	6	12	6
ENSG00000015592	0	0	0	0	0	0
ENSG00000015676	3184	3086	2845	2820	2199	1904
ENSG00000016082	62	36	24	27	32	44
ENSG00000016391	1104	1134	654	549	888	705
ENSG00000016402	47	64	36	39	45	46
ENSG00000016490	0	0	0	0	0	0
ENSG00000016602	0	1	1	0	0	0
ENSG00000016864	1152	1284	1050	1158	1261	1036
ENSG00000017260	2382	2902	2537	2961	4627	3645
ENSG00000017373	849	651	715	616	369	297
ENSG00000017427	0	0	0	0	4	0
ENSG00000017483	2609	2519	2048	2100	1799	1661
ENSG00000017621	59	61	64	50	16	14
ENSG00000017797	4161	4259	4099	4426	3696	3169
ENSG00000018189	530	585	710	733	598	435
ENSG00000018236	50	61	64	77	103	62
ENSG00000018280	14	14	9	12	4	4
ENSG00000018408	2494	2681	3038	3344	2961	2280
ENSG00000018510	1790	1897	1616	1969	3487	2718
ENSG00000018607	0	0	0	0	0	0
ENSG00000018610	931	883	747	864	1250	1085
ENSG00000018625	0	0	0	9	0	0
ENSG00000018699	1049	1182	966	1240	1310	1098
ENSG00000018869	1	0	0	1	0	0
ENSG00000019102	34	31	8	6	32	15
ENSG00000019144	2440	2344	3860	3817	1329	1096
ENSG00000019169	0	0	0	1	0	0
ENSG00000019186	7114	7880	7096	7691	4060	2917
ENSG00000019485	399	393	442	360	179	182
ENSG00000019505	99	88	105	147	111	90
ENSG00000019549	9	12	24	22	14	4
ENSG00000019582	18	10	12	30	6	8
ENSG00000019991	0	0	0	0	0	0
ENSG00000019995	1744	1906	1467	1697	2126	1754
ENSG00000020129	2898	2489	3119	2808	1359	1131
ENSG00000020181	696	579	1289	1027	208	162
ENSG00000020219	0	0	0	0	0	0
ENSG00000020256	1206	1158	1402	1410	499	455
ENSG00000020426	701	709	650	777	895	706
ENSG00000020577	452	539	612	663	403	357
ENSG00000020633	2952	2686	1966	1719	956	820
ENSG00000020922	255	295	231	261	693	515
ENSG00000021300	525	501	797	756	436	394
ENSG00000021355	1327	1265	1418	1470	1257	1010
ENSG00000021461	0	2	0	0	0	0
ENSG00000021488	3	3	4	2	3	0
ENSG00000021574	599	694	731	792	1047	821
ENSG00000021645	3	0	0	0	0	0
ENSG00000021762	2016	1736	2961	2537	841	764
ENSG00000021776	1148	1417	1211	1494	2017	1629
ENSG00000021826	885	1175	1088	1248	1668	1264
ENSG00000021852	0	0	0	1	0	0
ENSG00000022267	380	412	227	275	321	217
ENSG00000022277	1909	1824	1722	1852	1931	1617
ENSG00000022355	0	0	1	2	0	0
ENSG00000022556	3048	3157	2454	2466	2831	2513
ENSG00000022567	1531	1489	1441	1357	963	858
ENSG00000022840	5238	5246	4986	5011	3269	2750
ENSG00000022976	667	683	652	592	480	426
ENSG00000023041	3113	3367	2130	2569	4428	3554
ENSG00000023171	153	162	223	254	163	143
